platform,question_title,answer_summary,feedback_modes,business_mode,sentiment,quality_score,context_dependency_score,business_value_score,feedback_entropy_score,likes,high_value_reason,is_high_value_feedback_pre_llm,needs_llm_analysis,llm_priority_score,llm_route_reason,reaction_comment_count,supportive_ratio,opposing_ratio,controversy_score,sarcasm_ratio,high_value_comment_count,avg_comment_business_value_score,avg_comment_entropy_score,demo_case_id
zhihu,演示案例 015：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为混合，信息密度处于很高水平。,product_experience|monetization|community_conflict|competition|plot_discussion,product_experience|monetization|community_conflict|competition|plot_discussion,mixed,9,2,13,13.05,1238,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,13,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,152.0,7.24,13.82,17.11,0.66,77.0,2.16,2.49,content_0015
zhihu,演示案例 016：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为负向，信息密度处于很高水平。,product_experience|monetization|community_conflict|competition|plot_discussion,product_experience|monetization|community_conflict|competition|plot_discussion,negative,9,2,13,13.05,11,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,13,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,9.0,0.0,11.11,11.11,0.0,3.0,2.0,1.78,content_0016
zhihu,演示案例 017：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|community_conflict|competition,product_experience|monetization|community_conflict|competition,positive,8,3,13,11.3,6416,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,15,actionable_feedback|long_comment|context_heavy|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,191.0,10.99,23.04,31.94,6.81,58.0,0.9,1.92,content_0017
zhihu,演示案例 018：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|brand_communication|community_conflict|competition|plot_discussion,product_experience|monetization|brand_communication|community_conflict|competition|plot_discussion,positive,7,3,13,10.85,40,该样本主要体现为产品体验反馈，业务价值很高、表达质量较高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,15,actionable_feedback|long_comment|context_heavy|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.5,content_0018
zhihu,演示案例 019：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为中性，信息密度处于很高水平。,product_experience|monetization|community_conflict|competition|plot_discussion,product_experience|monetization|community_conflict|competition|plot_discussion,neutral,8,0,13,10.8,373,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,12,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode,7.0,0.0,28.57,42.86,0.0,2.0,1.57,1.57,content_0019
zhihu,演示案例 020：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为负向，信息密度处于很高水平。,product_experience|monetization|brand_communication|community_conflict|competition|plot_discussion,product_experience|monetization|brand_communication|community_conflict|competition|plot_discussion,negative,6,0,13,9.9,1014,该样本主要体现为产品体验反馈，业务价值很高、表达质量较高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,12,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode,51.0,0.0,1.96,1.96,0.0,8.0,1.16,1.27,content_0020
zhihu,演示案例 021：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|community_conflict|competition|plot_discussion,product_experience|monetization|community_conflict|competition|plot_discussion,positive,9,2,12,13.05,65,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,13,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,38.0,15.79,10.53,26.32,5.26,13.0,1.42,2.39,content_0021
zhihu,演示案例 022：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|competition|plot_discussion,product_experience|monetization|competition|plot_discussion,positive,8,0,12,12.6,1046,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,13,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,54.0,3.7,1.85,1.85,0.0,11.0,0.94,1.59,content_0022
zhihu,演示案例 023：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|competition|plot_discussion,product_experience|monetization|competition|plot_discussion,positive,8,1,12,12.6,218,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,13,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,7.0,0.0,0.0,14.29,0.0,1.0,0.29,1.14,content_0023
zhihu,演示案例 024：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|competition|plot_discussion,product_experience|monetization|competition|plot_discussion,positive,8,0,12,12.6,101,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,13,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,2.0,0.0,50.0,50.0,100.0,2.0,2.0,3.0,content_0024
zhihu,演示案例 025：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|competition|plot_discussion,product_experience|monetization|competition|plot_discussion,positive,9,3,12,12.55,1887,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,15,actionable_feedback|long_comment|context_heavy|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,67.0,4.48,2.99,2.99,0.0,11.0,0.88,1.58,content_0025
zhihu,演示案例 026：商业化主题,该回答样本在公开演示版中被归纳为“商业化”主题，整体情绪倾向为负向，信息密度处于很高水平。,monetization|community_conflict|competition|plot_discussion,monetization|community_conflict|competition|plot_discussion,negative,9,3,12,12.55,70,该样本主要体现为商业化反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,15,actionable_feedback|long_comment|context_heavy|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,129.0,6.2,29.46,47.29,4.65,51.0,1.26,2.61,content_0026
zhihu,演示案例 027：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|brand_communication|community_conflict|competition,product_experience|monetization|brand_communication|community_conflict|competition,positive,8,4,12,10.3,9,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,15,actionable_feedback|long_comment|context_heavy|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,10.0,20.0,20.0,50.0,10.0,6.0,1.4,2.4,content_0027
zhihu,演示案例 028：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|community_conflict|competition|plot_discussion,product_experience|community_conflict|competition|plot_discussion,positive,9,2,11,13.05,251,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,13,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,22.0,18.18,4.55,9.09,0.0,5.0,1.05,1.45,content_0028
zhihu,演示案例 029：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|competition|plot_discussion,product_experience|monetization|competition|plot_discussion,positive,9,1,11,13.05,74,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,13,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,7.0,42.86,0.0,14.29,71.43,4.0,0.86,2.29,content_0029
zhihu,演示案例 030：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|community_conflict|competition|plot_discussion,product_experience|monetization|community_conflict|competition|plot_discussion,positive,9,1,11,13.05,17,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,13,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,content_0030
zhihu,演示案例 031：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为混合，信息密度处于很高水平。,product_experience|monetization|community_conflict|competition|plot_discussion,product_experience|monetization|community_conflict|competition|plot_discussion,mixed,9,0,11,13.05,16,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,12,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,content_0031
zhihu,演示案例 032：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|community_conflict|competition|plot_discussion,product_experience|monetization|community_conflict|competition|plot_discussion,positive,8,1,11,12.6,8,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,12,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode,,,,,,,,,content_0032
zhihu,演示案例 033：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为混合，信息密度处于很高水平。,product_experience|monetization|community_conflict|competition|plot_discussion,product_experience|monetization|community_conflict|competition|plot_discussion,mixed,8,1,11,12.6,3,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,12,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode,4.0,0.0,25.0,25.0,0.0,1.0,0.5,1.75,content_0033
zhihu,演示案例 034：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|competition|plot_discussion,product_experience|competition|plot_discussion,positive,8,0,11,11.7,253,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,12,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode,30.0,20.0,13.33,13.33,6.67,5.0,1.57,1.63,content_0034
zhihu,演示案例 035：商业化主题,该回答样本在公开演示版中被归纳为“商业化”主题，整体情绪倾向为混合，信息密度处于很高水平。,monetization|community_conflict|competition|plot_discussion,monetization|community_conflict|competition|plot_discussion,mixed,9,1,11,11.25,3124,该样本主要体现为商业化反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,13,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode|sarcasm_with_signal,185.0,10.27,12.97,16.76,4.32,36.0,0.95,1.71,content_0035
zhihu,演示案例 036：商业化主题,该回答样本在公开演示版中被归纳为“商业化”主题，整体情绪倾向为正向，信息密度处于很高水平。,monetization|brand_communication|community_conflict,monetization|brand_communication|community_conflict,positive,5,5,11,9.45,466,该样本主要体现为商业化反馈，业务价值很高、表达质量较高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,13,actionable_feedback|long_comment|context_heavy|high_entropy|actionable_pattern|clear_target|sarcasm_with_signal,59.0,23.73,23.73,27.12,3.39,19.0,1.14,2.36,content_0036
zhihu,演示案例 037：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为混合，信息密度处于很高水平。,product_experience|monetization|brand_communication|competition|plot_discussion,product_experience|monetization|brand_communication|competition|plot_discussion,mixed,6,0,11,9.0,47,该样本主要体现为产品体验反馈，业务价值很高、表达质量较高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,10,actionable_feedback|long_comment|high_entropy|clear_target|competition_mode,8.0,0.0,25.0,25.0,12.5,5.0,1.12,2.75,content_0037
zhihu,演示案例 038：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为中性，信息密度处于较高水平。,product_experience|monetization|competition|plot_discussion,product_experience|monetization|competition|plot_discussion,neutral,4,0,11,7.2,296,该样本主要体现为产品体验反馈，业务价值很高、表达质量中等，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,8,actionable_feedback|high_entropy|clear_target|competition_mode,19.0,10.53,5.26,10.53,0.0,5.0,1.68,1.63,content_0038
zhihu,演示案例 039：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为负向，信息密度处于较高水平。,product_experience|monetization|competition|plot_discussion,product_experience|monetization|competition|plot_discussion,negative,3,1,11,6.05,180,该样本主要体现为产品体验反馈，业务价值很高、表达质量中等，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,7,actionable_feedback|high_entropy|competition_mode,22.0,13.64,18.18,18.18,4.55,3.0,0.82,1.36,content_0039
zhihu,演示案例 040：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为中性，信息密度处于很高水平。,product_experience|competition|plot_discussion,product_experience|competition|plot_discussion,neutral,9,0,10,13.05,214,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,12,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode,12.0,0.0,16.67,16.67,0.0,9.0,1.5,2.92,content_0040
zhihu,演示案例 041：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为中性，信息密度处于很高水平。,product_experience|competition|plot_discussion,product_experience|competition|plot_discussion,neutral,8,0,10,12.6,154,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,12,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode,6.0,0.0,0.0,0.0,0.0,1.0,0.67,1.67,content_0041
zhihu,演示案例 042：商业化主题,该回答样本在公开演示版中被归纳为“商业化”主题，整体情绪倾向为负向，信息密度处于很高水平。,monetization|brand_communication|competition,monetization|brand_communication|competition,negative,8,0,10,11.8,355,该样本主要体现为商业化反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,12,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode,39.0,7.69,10.26,10.26,0.0,3.0,0.33,1.23,content_0042
zhihu,演示案例 043：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|plot_discussion,product_experience|monetization|plot_discussion,positive,6,0,10,11.7,3,该样本主要体现为产品体验反馈，业务价值很高、表达质量较高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,10,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,content_0043
zhihu,演示案例 044：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|community_conflict|competition|plot_discussion,product_experience|monetization|community_conflict|competition|plot_discussion,positive,7,2,10,11.35,0,该样本主要体现为产品体验反馈，业务价值很高、表达质量较高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,12,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode,,,,,,,,,content_0044
zhihu,演示案例 045：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|community_conflict|competition,product_experience|monetization|community_conflict|competition,positive,8,0,10,10.8,311,该样本主要体现为产品体验反馈，业务价值很高、表达质量很高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,12,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target|competition_mode,18.0,11.11,5.56,5.56,5.56,4.0,1.22,1.61,content_0045
zhihu,演示案例 046：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|plot_discussion,product_experience|monetization|plot_discussion,positive,7,1,10,10.35,247,该样本主要体现为产品体验反馈，业务价值很高、表达质量较高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,10,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target,6.0,0.0,16.67,33.33,0.0,1.0,1.0,1.83,content_0046
zhihu,演示案例 047：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为正向，信息密度处于很高水平。,product_experience|monetization|community_conflict|competition,product_experience|monetization|community_conflict|competition,positive,7,3,10,10.05,2328,该样本主要体现为产品体验反馈，业务价值很高、表达质量较高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,13,actionable_feedback|long_comment|context_heavy|high_entropy|actionable_pattern|competition_mode,151.0,3.31,13.91,13.91,1.32,12.0,0.46,1.3,content_0047
zhihu,演示案例 048：产品体验主题,该回答样本在公开演示版中被归纳为“产品体验”主题，整体情绪倾向为中性，信息密度处于很高水平。,product_experience|monetization|community_conflict|plot_discussion,product_experience|monetization|community_conflict|plot_discussion,neutral,5,0,10,8.65,198,该样本主要体现为产品体验反馈，业务价值很高、表达质量较高，因此在演示版中被记录为“需要进一步进入 LLM 深分析”的案例。,True,True,10,actionable_feedback|long_comment|high_entropy|actionable_pattern|clear_target,6.0,33.33,16.67,16.67,0.0,2.0,0.83,2.33,content_0048
