question_title,reaction_comment_count,supportive_ratio,opposing_ratio,controversy_score,sarcasm_ratio,high_value_comment_count,avg_comment_business_value_score,avg_comment_entropy_score
演示案例 081：商业化主题,5.0,0.0,20.0,40.0,0.0,0.0,0.8,2.2
演示案例 082：产品体验主题,12.0,16.67,0.0,8.33,8.33,3.0,1.08,2.0
演示案例 083：产品体验主题,22.0,9.09,0.0,4.55,0.0,2.0,0.64,1.36
演示案例 084：品牌传播主题,16.0,0.0,12.5,18.75,37.5,2.0,0.56,1.0
演示案例 085：产品体验主题,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
演示案例 086：商业化主题,45.0,24.44,6.67,17.78,48.89,10.0,0.47,1.22
演示案例 087：产品体验主题,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
演示案例 088：竞品比较主题,18.0,38.89,5.56,5.56,5.56,3.0,0.44,1.33
演示案例 089：竞品比较主题,9.0,11.11,11.11,11.11,44.44,1.0,1.0,0.67
演示案例 090：产品体验主题,,,,,,,,
演示案例 091：商业化主题,,,,,,,,
演示案例 092：产品体验主题,4.0,0.0,0.0,0.0,25.0,1.0,0.75,2.25
演示案例 093：品牌传播主题,,,,,,,,
演示案例 094：产品体验主题,15.0,6.67,20.0,26.67,0.0,2.0,1.07,1.47
演示案例 095：产品体验主题,,,,,,,,
演示案例 096：商业化主题,11.0,0.0,18.18,18.18,0.0,1.0,1.0,1.73
演示案例 097：商业化主题,14.0,35.71,0.0,0.0,14.29,5.0,1.07,2.5
演示案例 098：产品体验主题,2.0,0.0,50.0,50.0,0.0,0.0,0.0,3.0
演示案例 099：品牌传播主题,33.0,6.06,3.03,6.06,3.03,1.0,0.7,1.06
演示案例 100：商业化主题,18.0,11.11,5.56,11.11,5.56,6.0,1.56,2.11
演示案例 101：商业化主题,,,,,,,,
演示案例 102：剧情内容主题,13.0,15.38,15.38,15.38,0.0,2.0,0.85,1.46
演示案例 103：产品体验主题,5.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8
演示案例 104：商业化主题,,,,,,,,
演示案例 105：剧情内容主题,9.0,0.0,0.0,0.0,11.11,1.0,0.56,0.89
演示案例 106：其他高价值主题,25.0,4.0,0.0,4.0,0.0,0.0,0.12,1.12
演示案例 107：其他高价值主题,136.0,11.76,2.94,3.68,5.88,2.0,0.17,1.02
演示案例 108：竞品比较主题,11.0,18.18,9.09,9.09,18.18,1.0,0.36,1.09
演示案例 109：商业化主题,,,,,,,,
演示案例 110：剧情内容主题,34.0,5.88,2.94,2.94,20.59,3.0,0.65,1.29
演示案例 111：竞品比较主题,,,,,,,,
演示案例 112：产品体验主题,13.0,15.38,0.0,0.0,0.0,3.0,0.54,1.31
演示案例 113：竞品比较主题,31.0,3.23,3.23,9.68,0.0,3.0,0.26,1.26
演示案例 114：其他高价值主题,46.0,4.35,0.0,0.0,2.17,2.0,0.26,1.02
演示案例 115：产品体验主题,10.0,0.0,10.0,10.0,0.0,1.0,0.4,1.3
演示案例 116：其他高价值主题,59.0,11.86,3.39,3.39,0.0,7.0,0.42,1.24
演示案例 117：其他高价值主题,20.0,20.0,5.0,5.0,5.0,2.0,0.25,1.0
演示案例 118：其他高价值主题,,,,,,,,
演示案例 119：竞品比较主题,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
演示案例 120：其他高价值主题,,,,,,,,
演示案例 121：其他高价值主题,,,,,,,,
