platform,comment_id,question_title,answer_summary,clean_text,business_mode,feedback_modes,comment_target,sentiment,confidence,quality_score,context_dependency_score,business_value_score,feedback_entropy_score,likes,high_value_reason,is_high_value_feedback,needs_llm_analysis,llm_priority_score,llm_route_reason,annotation_source,demo_case_id
zhihu,comment_0011,评论案例 011：其他高价值回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕其他高价值主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,,,game,neutral,0.58,1,0,0,1,1,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0011
zhihu,comment_0012,评论案例 012：其他高价值回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕其他高价值主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,,,game,neutral,0.58,0,0,0,1,0,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0012
zhihu,comment_0013,评论案例 013：剧情内容回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕剧情内容主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,plot_discussion,plot_discussion,game,neutral,0.58,0,2,1,1,0,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0013
zhihu,comment_0014,评论案例 014：社区冲突回应,该评论样本在公开演示版中被整理为针对“社区群体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕社区冲突主题，对社区群体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,community_conflict,community_conflict,community,neutral,0.58,2,0,1,2,0,该评论主要作为社区群体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0014
zhihu,comment_0015,评论案例 015：产品体验回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕产品体验主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,product_experience,product_experience,game,neutral,0.58,1,0,2,1,0,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0015
zhihu,comment_0016,评论案例 016：剧情内容回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕剧情内容主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,plot_discussion,plot_discussion,game,neutral,0.58,1,0,1,1,0,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0016
zhihu,comment_0017,评论案例 017：剧情内容回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕剧情内容主题，对游戏本体表达了负向态度，整体信息密度为较低，未进入 LLM 候选池。,plot_discussion,plot_discussion,game,negative,0.76,1,0,1,1,0,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0017
zhihu,comment_0018,评论案例 018：剧情内容回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕剧情内容主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,plot_discussion,plot_discussion,game,neutral,0.58,1,0,1,1,0,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0018
zhihu,comment_0019,评论案例 019：其他高价值回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕其他高价值主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,,,game,neutral,0.58,2,0,0,2,0,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0019
zhihu,comment_0020,评论案例 020：商业化回应,该评论样本在公开演示版中被整理为针对“社区群体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕商业化主题，对社区群体表达了中性态度，整体信息密度为中等，已进入 LLM 候选池。,monetization,product_experience|competition,community,neutral,0.8,2,0,4,3,0,该评论主要作为社区群体相关的社区回应样本被保留，业务价值中等，上下文依赖较低。,False,True,5,high_value_pre_llm|competition_mode,llm,comment_0020
zhihu,comment_0021,评论案例 021：其他高价值回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕其他高价值主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,,,game,neutral,0.58,1,0,0,1,0,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0021
zhihu,comment_0022,评论案例 022：品牌传播回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕品牌传播主题，对游戏本体表达了正向态度，整体信息密度为中等，已进入 LLM 候选池。,brand_communication,competition|plot_discussion,game,positive,0.9,3,0,1,4,0,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,True,True,5,high_value_pre_llm|competition_mode,llm,comment_0022
zhihu,comment_0023,评论案例 023：竞品比较回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕竞品比较主题，对游戏本体表达了负向态度，整体信息密度为较低，已进入 LLM 候选池。,competition|monetization,competition,game,negative,0.8,1,2,2,2,0,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,True,5,high_value_pre_llm|competition_mode,llm,comment_0023
zhihu,comment_0024,评论案例 024：社区冲突回应,该评论样本在公开演示版中被整理为针对“社区群体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕社区冲突主题，对社区群体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,community_conflict|plot_discussion,community_conflict|plot_discussion,community,neutral,0.58,2,1,2,1,0,该评论主要作为社区群体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,True,False,3,,rule,comment_0024
zhihu,comment_0025,评论案例 025：其他高价值回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕其他高价值主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,,,game,neutral,0.58,0,2,0,1,0,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0025
zhihu,comment_0026,评论案例 026：竞品比较回应,该评论样本在公开演示版中被整理为针对“回答观点”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕竞品比较主题，对回答观点表达了中性态度，整体信息密度为较低，已进入 LLM 候选池。,competition|brand_communication,competition,answer,neutral,0.85,1,1,2,1,0,该评论主要作为回答观点相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,True,5,high_value_pre_llm|competition_mode,llm,comment_0026
zhihu,comment_0027,评论案例 027：剧情内容回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕剧情内容主题，对游戏本体表达了正向态度，整体信息密度为较低，未进入 LLM 候选池。,plot_discussion,plot_discussion,game,positive,0.75,0,2,1,1,0,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0027
zhihu,comment_0028,评论案例 028：产品体验回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕产品体验主题，对游戏本体表达了正向态度，整体信息密度为中等，已进入 LLM 候选池。,product_experience,monetization|competition,game,positive,0.9,2,0,4,3,0,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值中等，上下文依赖较低。,True,True,5,high_value_pre_llm|competition_mode,llm,comment_0028
zhihu,comment_0029,评论案例 029：竞品比较回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为中等。,该评论被改写为公开展示摘要：围绕竞品比较主题，对游戏本体表达了中性态度，整体信息密度为较低，已进入 LLM 候选池。,competition,competition,game,neutral,0.75,0,3,2,0,0,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖中等。,False,True,7,high_value_pre_llm|context_heavy|competition_mode,llm,comment_0029
zhihu,comment_0030,评论案例 030：社区冲突回应,该评论样本在公开演示版中被整理为针对“社区群体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕社区冲突主题，对社区群体表达了负向态度，整体信息密度为中等，已进入 LLM 候选池。,community_conflict,community_conflict|competition,community,negative,0.8,2,2,3,3,0,该评论主要作为社区群体相关的社区回应样本被保留，业务价值中等，上下文依赖较低。,False,True,5,high_value_pre_llm|competition_mode,llm,comment_0030
zhihu,comment_0031,评论案例 031：其他高价值回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕其他高价值主题，对游戏本体表达了正向态度，整体信息密度为较低，未进入 LLM 候选池。,,,game,positive,0.75,1,0,1,1,37,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0031
zhihu,comment_0032,评论案例 032：其他高价值回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕其他高价值主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,,,game,neutral,0.58,1,0,0,1,7,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0032
zhihu,comment_0033,评论案例 033：品牌传播回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕品牌传播主题，对游戏本体表达了正向态度，整体信息密度为中等，已进入 LLM 候选池。,brand_communication,product_experience|competition,game,positive,0.9,3,0,2,4,3,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,True,5,high_value_pre_llm|competition_mode,llm,comment_0033
zhihu,comment_0034,评论案例 034：产品体验回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕产品体验主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,product_experience,product_experience,game,neutral,0.58,1,0,2,1,2,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0034
zhihu,comment_0035,评论案例 035：其他高价值回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕其他高价值主题，对游戏本体表达了正向态度，整体信息密度为较低，未进入 LLM 候选池。,,,game,positive,0.75,1,0,0,1,3,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0035
zhihu,comment_0036,评论案例 036：其他高价值回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕其他高价值主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,,,game,neutral,0.58,0,2,0,1,1,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0036
zhihu,comment_0037,评论案例 037：剧情内容回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕剧情内容主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,plot_discussion,plot_discussion,game,neutral,0.58,1,0,1,1,0,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0037
zhihu,comment_0038,评论案例 038：产品体验回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕产品体验主题，对游戏本体表达了中性态度，整体信息密度为中等，未进入 LLM 候选池。,product_experience,product_experience,game,neutral,0.58,1,0,3,3,73,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值中等，上下文依赖较低。,True,False,3,,rule,comment_0038
zhihu,comment_0039,评论案例 039：产品体验回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕产品体验主题，对游戏本体表达了中性态度，整体信息密度为中等，未进入 LLM 候选池。,product_experience,product_experience,game,neutral,0.58,1,1,3,3,28,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值中等，上下文依赖较低。,True,False,3,,rule,comment_0039
zhihu,comment_0040,评论案例 040：产品体验回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕产品体验主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,product_experience,product_experience,game,neutral,0.58,1,0,2,1,13,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0040
zhihu,comment_0041,评论案例 041：产品体验回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕产品体验主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,product_experience,product_experience,game,neutral,0.58,1,1,0,1,7,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0041
zhihu,comment_0042,评论案例 042：产品体验回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕产品体验主题，对游戏本体表达了正向态度，整体信息密度为较低，未进入 LLM 候选池。,product_experience,product_experience,game,positive,0.75,1,0,0,1,5,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0042
zhihu,comment_0043,评论案例 043：产品体验回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕产品体验主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,product_experience,product_experience,game,neutral,0.58,1,0,2,1,4,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0043
zhihu,comment_0044,评论案例 044：产品体验回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕产品体验主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,product_experience,product_experience,game,neutral,0.58,0,2,0,1,4,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0044
zhihu,comment_0045,评论案例 045：产品体验回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕产品体验主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,product_experience,product_experience,game,neutral,0.58,1,0,2,1,3,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0045
zhihu,comment_0046,评论案例 046：产品体验回应,该评论样本在公开演示版中被整理为针对“回答观点”的回应，上下文依赖程度为中等。,该评论被改写为公开展示摘要：围绕产品体验主题，对回答观点表达了中性态度，整体信息密度为较低，已进入 LLM 候选池。,product_experience,product_experience,answer,neutral,0.9,2,3,0,0,1,该评论主要作为回答观点相关的社区回应样本被保留，业务价值较低，上下文依赖中等。,False,True,5,high_value_pre_llm|context_heavy,llm,comment_0046
zhihu,comment_0047,评论案例 047：产品体验回应,该评论样本在公开演示版中被整理为针对“回答观点”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕产品体验主题，对回答观点表达了负向态度，整体信息密度为中等，已进入 LLM 候选池。,product_experience|competition,product_experience|competition,answer,negative,0.85,3,0,0,4,2,该评论主要作为回答观点相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,True,5,high_value_pre_llm|competition_mode,llm,comment_0047
zhihu,comment_0048,评论案例 048：产品体验回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕产品体验主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,product_experience,product_experience,game,neutral,0.58,1,1,2,1,1,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0048
zhihu,comment_0049,评论案例 049：产品体验回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕产品体验主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,product_experience,product_experience,game,neutral,0.58,1,0,0,1,1,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0049
zhihu,comment_0050,评论案例 050：产品体验回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕产品体验主题，对游戏本体表达了中性态度，整体信息密度为中等，未进入 LLM 候选池。,product_experience|plot_discussion,product_experience|plot_discussion,game,neutral,0.58,2,0,4,3,35,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值中等，上下文依赖较低。,True,False,3,,rule,comment_0050
zhihu,comment_0051,评论案例 051：产品体验回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕产品体验主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,product_experience,product_experience,game,neutral,0.58,1,2,0,2,7,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0051
zhihu,comment_0052,评论案例 052：产品体验回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为中等。,该评论被改写为公开展示摘要：围绕产品体验主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,product_experience,product_experience,game,neutral,0.58,0,3,2,0,0,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖中等。,False,False,2,,rule,comment_0052
zhihu,comment_0053,评论案例 053：产品体验回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕产品体验主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,product_experience,product_experience,game,neutral,0.58,0,2,0,1,0,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0053
zhihu,comment_0054,评论案例 054：产品体验回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕产品体验主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,product_experience,product_experience,game,neutral,0.58,1,0,0,1,0,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0054
zhihu,comment_0055,评论案例 055：产品体验回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕产品体验主题，对游戏本体表达了正向态度，整体信息密度为中等，未进入 LLM 候选池。,product_experience,product_experience,game,positive,0.75,3,0,2,4,0,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,True,False,3,,rule,comment_0055
zhihu,comment_0056,评论案例 056：其他高价值回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕其他高价值主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,,,game,neutral,0.58,0,2,1,1,103,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0056
zhihu,comment_0057,评论案例 057：其他高价值回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为中等。,该评论被改写为公开展示摘要：围绕其他高价值主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,,,game,neutral,0.58,0,3,1,0,87,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖中等。,False,False,2,,rule,comment_0057
zhihu,comment_0058,评论案例 058：其他高价值回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较高。,该评论被改写为公开展示摘要：围绕其他高价值主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,,,game,neutral,0.58,0,5,1,0,30,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较高。,False,False,3,,rule,comment_0058
zhihu,comment_0059,评论案例 059：其他高价值回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕其他高价值主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,,,game,neutral,0.58,1,0,1,1,33,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0059
zhihu,comment_0060,评论案例 060：其他高价值回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕其他高价值主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,,,game,neutral,0.58,0,2,0,1,10,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0060
zhihu,comment_0061,评论案例 061：其他高价值回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕其他高价值主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,,,game,neutral,0.58,0,2,0,1,1,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0061
zhihu,comment_0062,评论案例 062：其他高价值回应,该评论样本在公开演示版中被整理为针对“游戏本体”的回应，上下文依赖程度为较低。,该评论被改写为公开展示摘要：围绕其他高价值主题，对游戏本体表达了中性态度，整体信息密度为较低，未进入 LLM 候选池。,,,game,neutral,0.58,1,0,0,1,0,该评论主要作为游戏本体相关的社区回应样本被保留，业务价值较低，上下文依赖较低。,False,False,0,,rule,comment_0062
